Designator,Mid X,Mid Y,Rotation,Layer
C1,126.1,-113.5,180.0,bottom
C10,138.7,-96.6,180.0,bottom
C11,137.4,-104.6,90.0,bottom
C12,137.4,-108.2,90.0,bottom
C13,149.3,-105.0,90.0,bottom
C14,142.1,-96.6,180.0,bottom
C15,135.7,-104.6,90.0,bottom
C16,144.7,-110.6,180.0,bottom
C17,148.1,-111.2,180.0,bottom
C18,133.6,-105.8,0.0,top
C19,148.1,-115.5,180.0,bottom
C20,139.7,-115.5,0.0,top
C21,143.6,-114.7,180.0,bottom
C22,140.6,-94.8,90.0,top
C23,146.8,-94.8,90.0,top
C25,133.6,-117.5,180.0,bottom
C26,129.6,-118.0,180.0,bottom
C27,160.6,-93.5,0.0,top
C28,160.6,-96.0,180.0,bottom
C29,140.5,-115.9,180.0,bottom
C30,152.1,-100.5,180.0,bottom
C31,159.1,-100.5,180.0,bottom
C32,155.6,-100.5,180.0,bottom
C33,152.1,-113.5,180.0,bottom
C34,155.6,-113.5,180.0,bottom
C35,159.1,-113.5,180.0,bottom
C36,174.6,-108.0,180.0,bottom
C37,143.6,-112.2,0.0,top
C4,134.1,-115.0,0.0,top
C5,134.6,-120.0,0.0,top
C6,135.7,-108.2,90.0,bottom
C7,149.3,-108.4,90.0,bottom
C8,149.3,-101.6,90.0,bottom
C9,145.5,-96.6,180.0,bottom
D1,126.1,-105.0,180.0,top
D2,146.1,-89.5,0.0,top
D3,142.1,-89.5,0.0,top
D4,174.6,-97.5,180.0,bottom
D5,174.6,-100.0,180.0,bottom
D6,174.6,-102.5,180.0,bottom
D7,174.6,-110.5,180.0,bottom
D8,174.6,-105.5,180.0,bottom
F1,121.6,-112.5,0.0,top
FB1,136.9,-107.4,0.0,top
J1,118.775,-105.0,270.0,top
J4,170.59,-105.0,0.0,top
L1,139.7,-113.6,0.0,top
Q1,160.6,-113.2,180.0,top
R1,124.6,-101.0,180.0,bottom
R10,142.1,-91.8,180.0,bottom
R13,151.1,-97.5,180.0,bottom
R14,154.6,-97.5,180.0,bottom
R15,151.6,-92.6,180.0,bottom
R16,158.1,-97.5,180.0,bottom
R17,143.1,-117.5,180.0,bottom
R18,139.6,-117.5,180.0,bottom
R19,160.6,-116.2,180.0,bottom
R2,124.6,-109.0,180.0,bottom
R20,164.1,-116.2,180.0,bottom
R21,165.1,-113.2,0.0,top
R22,152.1,-116.0,180.0,bottom
R23,165.6,-101.0,180.0,bottom
R24,165.6,-106.0,180.0,bottom
R25,165.9,-97.5,0.0,top
R26,165.9,-100.0,0.0,top
R27,165.9,-102.5,0.0,top
R28,165.9,-110.0,0.0,top
R29,178.1,-110.5,180.0,bottom
R3,133.6,-108.2,0.0,top
R30,165.9,-105.0,0.0,top
R31,178.1,-105.5,180.0,bottom
R32,165.9,-107.5,0.0,top
R33,178.1,-108.0,180.0,bottom
R4,133.6,-110.0,0.0,top
R5,136.1,-115.5,180.0,bottom
R6,146.8,-91.5,0.0,top
R7,149.1,-112.0,0.0,top
R8,134.6,-90.5,0.0,bottom
R9,146.1,-91.8,180.0,bottom
SW1,154.1,-119.5,0.0,top
SW2,161.1,-119.5,0.0,top
U1,143.1,-105.0,270.0,top
U2,127.6,-117.5,180.0,top
U3,154.1,-93.5,270.0,top
U4,155.1,-107.0,270.0,top
U5,162.1,-101.0,90.0,top
U6,162.1,-106.0,90.0,top
Y1,143.7,-94.8,180.0,top
